MNIST-USPS seed:0 {'acc': 0.994, 'nmi': 0.9830838134832482, 'pur': 0.994}
MNIST-USPS seed:1 {'acc': 0.995, 'nmi': 0.985183336582104, 'pur': 0.995}
MNIST-USPS seed:2 {'acc': 0.9952, 'nmi': 0.9863866210992583, 'pur': 0.9952}
MNIST-USPS seed:3 {'acc': 0.9944, 'nmi': 0.9837109176896206, 'pur': 0.9944}
MNIST-USPS seed:4 {'acc': 0.9944, 'nmi': 0.9838827995282305, 'pur': 0.9944}
MNIST-USPS seed:5 {'acc': 0.993, 'nmi': 0.9802182608046986, 'pur': 0.993}
MNIST-USPS seed:6 {'acc': 0.9944, 'nmi': 0.9838759954673151, 'pur': 0.9944}
MNIST-USPS seed:7 {'acc': 0.995, 'nmi': 0.9855605037964815, 'pur': 0.995}
MNIST-USPS seed:8 {'acc': 0.9952, 'nmi': 0.9863821941731054, 'pur': 0.9952}
MNIST-USPS seed:9 {'acc': 0.9946, 'nmi': 0.9841420243562673, 'pur': 0.9946}
MNIST-USPS seed:10 {'acc': 0.9948, 'nmi': 0.9853258249623666, 'pur': 0.9948}
BDGP seed:0 {'acc': 0.9864, 'nmi': 0.954588010792161, 'pur': 0.9864}
BDGP seed:1 {'acc': 0.9888, 'nmi': 0.9630171922048364, 'pur': 0.9888}
BDGP seed:2 {'acc': 0.9904, 'nmi': 0.9680981093750567, 'pur': 0.9904}
BDGP seed:3 {'acc': 0.9844, 'nmi': 0.9478848280543577, 'pur': 0.9844}
BDGP seed:4 {'acc': 0.9904, 'nmi': 0.9662961137061522, 'pur': 0.9904}
BDGP seed:5 {'acc': 0.9904, 'nmi': 0.9661569821328087, 'pur': 0.9904}
BDGP seed:6 {'acc': 0.8276, 'nmi': 0.7921958842852902, 'pur': 0.8276}
BDGP seed:7 {'acc': 0.9852, 'nmi': 0.9515019958602026, 'pur': 0.9852}
BDGP seed:8 {'acc': 0.9908, 'nmi': 0.9685105890397752, 'pur': 0.9908}
BDGP seed:9 {'acc': 0.9724, 'nmi': 0.9187560109815313, 'pur': 0.9724}
BDGP seed:10 {'acc': 0.988, 'nmi': 0.9599136533606859, 'pur': 0.988}
CCV seed:0 {'acc': 0.33087258231212163, 'nmi': 0.3214021381966894, 'pur': 0.3747231655101137}
CCV seed:1 {'acc': 0.3144839805108519, 'nmi': 0.30815206536038997, 'pur': 0.3555293075446626}
CCV seed:2 {'acc': 0.3073970175697623, 'nmi': 0.3100084085154889, 'pur': 0.3485899896648457}
CCV seed:3 {'acc': 0.3168463014912151, 'nmi': 0.3139214510063594, 'pur': 0.36438801122102465}
CCV seed:4 {'acc': 0.33205374280230326, 'nmi': 0.3276136102302505, 'pur': 0.36866971799793297}
CCV seed:5 {'acc': 0.2948471873615828, 'nmi': 0.31137287487345505, 'pur': 0.3401742211723018}
CCV seed:6 {'acc': 0.29204193119740146, 'nmi': 0.30468919639776115, 'pur': 0.33515428908902994}
CCV seed:7 {'acc': 0.3353019341503027, 'nmi': 0.32459048628157944, 'pur': 0.3744278753875683}
CCV seed:8 {'acc': 0.3124169496530341, 'nmi': 0.3081491428547599, 'pur': 0.36040159456666176}
CCV seed:9 {'acc': 0.28982725527831094, 'nmi': 0.3036318974914976, 'pur': 0.3376642551306659}
CCV seed:10 {'acc': 0.29469954230031004, 'nmi': 0.3058541188257691, 'pur': 0.33604015945666615}
Fashion seed:0 {'acc': 0.9872, 'nmi': 0.9709827106714235, 'pur': 0.9872}
Fashion seed:1 {'acc': 0.9883, 'nmi': 0.972748994584616, 'pur': 0.9883}
Fashion seed:2 {'acc': 0.9888, 'nmi': 0.9734840143514358, 'pur': 0.9888}
Fashion seed:3 {'acc': 0.9883, 'nmi': 0.9734474677688302, 'pur': 0.9883}
Fashion seed:4 {'acc': 0.9883, 'nmi': 0.9726111060372494, 'pur': 0.9883}
Fashion seed:5 {'acc': 0.9881, 'nmi': 0.9729301996978241, 'pur': 0.9881}
