dataset,lambda1,lambda2,ACC,NMI,PUR
MNIST-USPS,1.0,10.0,0.9968,0.9908189483766673,0.9968
MNIST-USPS,1.0,10.0,0.9968,0.9908189483766673,0.9968
MNIST-USPS,1.0,10.0,0.4976,0.6700822735437952,0.5034
Fashion,0.1,0.001,0.5638,0.6960535595559376,0.5778
Fashion,0.1,0.001,0.9947,0.9858532208350832,0.9947
Fashion,0.1,0.001,0.5638,0.6960535595559376,0.5778
MNIST-USPS,1.0,10.0,0.4976,0.6700822735437952,0.5034
MNIST-USPS,1.0,10.0,0.9968,0.9908189483766673,0.9968
BDGP,1.0,1.0,0.5236,0.48296586444234213,0.5864
BDGP,1.0,1.0,0.9936,0.9799360503452945,0.9936
BDGP,1.0,1.0,0.9904,0.9674884022217389,0.9904
MNIST-USPS,1.0,10.0,0.9948,0.9848195411125544,0.9948
Caltech-2V,0.1,0.1,0.5992857142857143,0.5136309124179843,0.6057142857142858
Caltech-2V,0.1,0.1,0.585,0.5151183336517049,0.6385714285714286
Caltech-2V,0.1,0.1,0.5692857142857143,0.47195856299788386,0.5935714285714285
Caltech-2V,0.1,0.1,0.5692857142857143,0.47195856299788386,0.5935714285714285
Caltech-2V,0.1,0.1,0.67,0.5441733894079993,0.67
Caltech-5V,0.1,0.1,0.8978571428571429,0.8308507744607068,0.8978571428571429
Caltech-5V,0.1,0.1,0.7492857142857143,0.6999792376442644,0.75
Caltech-5V,0.1,0.1,0.8978571428571429,0.8308507744607068,0.8978571428571429
Caltech-2V,0.1,0.1,0.67,0.5441733894079993,0.67
Caltech-2V,0.1,0.1,0.6092857142857143,0.5161200283079325,0.6107142857142858
MNIST-USPS,1.0,10.0,0.9948,0.9848195411125544,0.9948
CCV,0.001,0.001,0.15236970323342683,0.09289682308543482,0.1759929130370589
CCV,0.001,0.1,0.18367045622323933,0.11599477791266775,0.21275653329396133
CCV,0.001,1.0,0.15665141001033517,0.0993894760686306,0.1777646537723313
CCV,0.001,10.0,0.15340321866233575,0.08909998503463613,0.1777646537723313
CCV,0.001,100.0,0.12298833604015946,0.08309760480329366,0.14912151188542744
CCV,0.1,0.001,0.3251144249224863,0.332307300204841,0.36542152664993355
CCV,0.1,0.1,0.29469954230031004,0.3058541188257691,0.33604015945666615
CCV,0.1,1.0,0.3135981101432157,0.3070159280397371,0.35877749889266203
CCV,0.1,10.0,0.26369407943304296,0.23863008406336947,0.30178650524139966
CCV,0.1,100.0,0.17879816920124023,0.13764162810256353,0.21187066292632512
CCV,1.0,0.001,0.3093164033663074,0.31768908796229983,0.3497711501550273
CCV,1.0,0.1,0.3063635021408534,0.3077513820299924,0.3342684187213938
CCV,1.0,1.0,0.32969142182194006,0.32339217661858716,0.3794478074708401
CCV,1.0,10.0,0.3189133323490329,0.31608957275294103,0.36335449579211576
CCV,1.0,100.0,0.3094640484275801,0.2744451387245306,0.33367783847630295
Fashion,0.001,0.001,0.2825,0.19585531651696955,0.3063
Fashion,0.001,0.1,0.446,0.4313082775297162,0.47
Fashion,0.001,1.0,0.3643,0.314173126230927,0.3821
Fashion,0.001,10.0,0.3692,0.3225138747279665,0.3871
Fashion,0.001,100.0,0.3273,0.2826249487685278,0.3322
Fashion,0.1,0.001,0.985,0.9682824858100004,0.985
Fashion,0.1,0.1,0.9883,0.9734474677688302,0.9883
Fashion,0.1,1.0,0.9894,0.9746771322083588,0.9894
Fashion,0.1,10.0,0.9909,0.977453411583861,0.9909
Fashion,0.1,100.0,0.4659,0.4975082399999782,0.4872
Fashion,1.0,0.001,0.9927,0.9814716341243631,0.9927
Fashion,1.0,0.1,0.9939,0.9837702422487985,0.9939
Fashion,1.0,1.0,0.9933,0.9829371983697326,0.9933
Fashion,1.0,10.0,0.9935,0.9830440050204917,0.9935
Fashion,1.0,100.0,0.7946,0.8811816414799145,0.7964
Fashion,10.0,0.001,0.1,0.0,0.1
Fashion,10.0,0.1,0.1,0.0,0.1
MNIST-USPS,1.0,10.0,0.4976,0.6700822735437952,0.5034
BDGP,1.0,1.0,0.5236,0.48296586444234213,0.5864
CCV,1.0,1.0,0.1752546877306954,0.15002915777253875,0.19858260741178207
Fashion,1.0,0.1,0.5638,0.6960535595559376,0.5778
Caltech-2V,0.1,0.1,0.36214285714285716,0.2201570687978674,0.36428571428571427
Caltech-3V,0.1,0,0.37285714285714283,0.27564300600408004,0.4057142857142857
Caltech-4V,0.1,0.1,0.43214285714285716,0.3514135745874401,0.4442857142857143
Caltech-5V,0.1,0.1,0.4135714285714286,0.39199132567781575,0.4207142857142857
MNIST-USPS,1.0,10.0,0.1,0.0,0.1
MNIST-USPS,1.0,10.0,0.9926,0.9788922733217088,0.9926
BDGP,1.0,1.0,0.992,0.9741392982195415,0.992
CCV,1.0,1.0,0.3029676657315813,0.30675080328040416,0.3506570205226635
Fashion,1.0,0.1,0.9925,0.9809082722143198,0.9925
Caltech-2V,0.1,0.1,0.485,0.42573461102138244,0.5028571428571429
Caltech-2V,0.1,0.1,0.5614285714285714,0.5043757349396257,0.6071428571428571
Caltech-3V,0.1,0,0.6114285714285714,0.5853604227236626,0.6171428571428571
Caltech-4V,0.1,0.1,0.72,0.6746360695363329,0.7235714285714285
Caltech-2V,0.1,0.1,0.485,0.42573461102138244,0.5028571428571429
Caltech-3V,0.1,0.1,0.7035714285714286,0.6195127703351608,0.7128571428571429
Caltech-2V,0.1,0.1,0.485,0.42573461102138244,0.5028571428571429
Caltech-4V,0.1,0.1,0.6657142857142857,0.6308662435044029,0.7014285714285714
